,AUROC-250,AUPR-250,AUROC-500,AUPR-500,AUROC-750,AUPR-750,AUROC-1000,AUPR-1000,AUROC-1250,AUPR-1250,AUROC-1500,AUPR-1500,AUROC-1750,AUPR-1750,AUROC-2000,AUPR-2000
ENGRAIN,0.7770958527621027,0.5692316654907451,0.812460683100683,0.6239739296296174,0.8286434775022273,0.6497899272159753,0.8405761352836354,0.6624957046187335,0.8472055008167508,0.6781962846278204,0.8554911779774279,0.6892932054201083,0.862860999034749,0.696575970616361,0.8627740577665579,0.705126507916318
STD_ENGRAIN,0.0177941903535911,0.030097783903543215,0.016481766913736984,0.02653540827728483,0.014275720388361758,0.029453906037002736,0.015000607545834856,0.028370382249392957,0.014346679105415422,0.02713607185453678,0.01505277231191036,0.023044133258379434,0.019868176177764256,0.02936214443401115,0.014466447435175176,0.02946479355887091
clr,0.779940085642802,0.3715955237574048,0.8053605484988453,0.4006919308971031,0.8195719957659737,0.41444145827663303,0.8295298229407236,0.42203309852282805,0.836131454965358,0.42819500273798766,0.8402800971901462,0.43198833977955287,0.8423186932255581,0.4360501969998257,0.8452145679368746,0.43873091798823277
aracne,0.5701663000384912,0.14714720043308993,0.5955196920708237,0.19712708318256555,0.6176145708237106,0.24090076418367234,0.6225805783294841,0.25028280551097853,0.6341747209391839,0.27377479148853956,0.6362486932255581,0.2788292418794539,0.6429471189376444,0.29198906662401,0.6483743571978445,0.30232191073628323
grnboost,0.7130106216320247,0.2892740561413956,0.7529979387990763,0.3344411779878359,0.7597152424942264,0.34977333451905784,0.7684490338722094,0.36189468680784403,0.7998038895304083,0.3844087730017867,0.8067621304849887,0.39272626055322896,0.814101012317167,0.39834496525511154,0.8162518851039262,0.4038318354745077
mrnet,0.7734989799846034,0.3811617674790653,0.7935624903772133,0.4184900348277736,0.8090761778290991,0.43774639304113955,0.8147160142417242,0.44641100014771806,0.8202486037336412,0.4538539684730288,0.8238640762124712,0.45928509697605485,0.8278043879907621,0.46385149303195417,0.8312013433410317,0.4657061460377614
tinge,0.4997925,0.012823423725801834,0.5195344197459585,0.039381374265523184,0.5685803521939954,0.13156915285432652,0.5903683641262509,0.171262618300408,0.6330629320631254,0.2510208421981954,0.6635707881062357,0.30905715332704076,0.7014916127790608,0.3837440233711848,0.7507294515011548,0.4768883163778637
wgcna,0.783038194765204,0.3361336972571089,0.8020141801385681,0.3453725196494542,0.8102368687451886,0.3486477563155008,0.8166896901462665,0.34937538237145194,0.8218686046959199,0.35260887101226857,0.825033889530408,0.3539685704141721,0.8280820881447267,0.3553270882535661,0.8307770246343341,0.35524904175886857
fastggm,0.5343170371439568,0.022673804254205437,0.5372931254811394,0.02373570989750855,0.5330551664742109,0.02440089719879398,0.526247363356428,0.025276844067126027,0.5285530225173211,0.025998368533662254,0.5224374711316397,0.026077026959041967,0.5201157602001539,0.026439346763537788,0.5258292330638953,0.026391387620845343
genenet,0.4917215473441109,0.08492418385615844,0.4906594053117783,0.07327169212085348,0.49497663779830636,0.06879253042279329,0.49736096035411853,0.06526611012877584,0.493772467282525,0.06358232488350674,0.4949652848344881,0.06324251131780417,0.4943238779830639,0.06618935886962088,0.4973213529638183,0.07059759384492492
